"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-06-28 14:28:28",56,60,5.918,1573084,112,826,7224,609,143,74,1361,1612,64,5918,1,7363,1242,1283,1242,"6.365","45.67","54.33","2.121","00.42","1.38","83.38","calendar-365.com"
"2019-06-28 14:29:45",43,48,7.943,3692196,249,750,24377,348,241,161,2965,2965,122,7943,120,8232,2014,2014,2014,"00",".","16.03","2019","38.19.60","46.47","2019","carsense.com"
"2019-06-28 14:32:20",79,75,3.457,814632,73,2390,8907,40,25,2325,3096,3096,0,3457,2,5459,3137,3229,3137,"933,196","19.62","80.38","311,065","02.07","2.45","53.49","cdispatch.com"
"2019-07-26 07:33:58",91,84,1.333,830416,29,599,11846,212,48,339,719,1210,37,1333,3,1424,945,945,945,"143.7","68.96","31.04","47.91","18.07","9.32","22.40","chess.com"
"2019-06-28 14:34:33",37,0,74.994,21332396,506,1064,42963,414,178,472,5713,5713,199,74994,20,75319,2550,2998,2550,"2.913","33.00","67.00","971,033","03.56","2.48","65.67","chronofhorse.com"
"2019-06-28 14:37:19",78,71,1.197,1151628,68,539,26751,123,138,278,992,993,54,1197,0,3310,750,817,750,"40.89","78.48","21.52","13.63","01.59","1.70","76.59","codeproject.com"
"2019-06-28 14:38:28",50,47,5.782,2002850,242,1166,19574,386,404,376,2592,2592,0,5782,3,6751,1971,1981,3251,"3.532","39.47","60.53","1.177","02.17","3.13","72.88","complaintsboard.com"
"2019-06-28 14:39:58",68,69,1.444,1326780,103,110,8191,42,30,38,867,867,28,1444,16,2306,760,771,760,"2.829","63.01","36.99","943,172","01.26","1.52","80.92","constitutioncenter.org"
"2019-06-28 14:41:53",62,76,2.639,1858013,90,765,24567,21,30,714,1363,1363,56,2639,52,3123,1137,1137,1137,"6.268","40.88","59.12","2.089","01.22","1.60","71.51","consumersadvocate.org"
"2019-07-10 01:58:23",60,76,2.068,1159050,57,388,8122,159,137,92,1606,1606,0,2068,2,2213,1351,1624,1351,"8.387","46.83","53.17","2.795","02.52","4.05","53.82","convio.net"
"2019-06-28 14:42:49",77,63,1.421,4902209,58,279,3970,123,37,119,634,634,1,1421,3,1710,547,941,794,"1.770","45.63","54.37","590,054","01.12","3.40","71.92","cosplay.com"
