Date,Yslow_Grade,PageSpeed_Grade,Onload_Times,Total_Size_bytes,Total_Requests,TTFB_ms,HTML_Size_bytes,Redirect_duration_ms,Connection_duration_ms,Backend_duration_ms,DOM_interactive_ms,DOM_content_loaded_ms,DOM_content_loaded_duration_ms,Onload_ms,Onload_duration_ms,Fully_loaded_ms,First_paint_ms,RUM_Speed_Index,First_contentful_paint_ms,Total_Visits,Mobile_Device,Desktop_Device,Monthly_Visits,Avg_Visit_Duration,Pages_Per_Visit,Bounce_Rate,URL,type_website
28-06-2019,71,78,4.253,30047478,134,495,18499,176,159,160,2522,2522,2,4253,18,4786,803,1350,803,53,25.06,74.94,557339,2.17,2.63,53.64,tuktukpatrol.com,1
28-06-2019,74,86,2.455,852834,55,1262,5244,596,1,665,1896,1896,29,2455,2,4025,1642,1642,1642,84,64.22,35.78,25.16,8.41,4.98,37.44,tureng.com,1
28-06-2019,77,82,2.855,679644,74,794,9813,375,53,366,1066,1066,121,2855,21,4903,980,1576,980,71,71.02,28.98,12.91,4.36,4.93,33.03,turkcealtyazi.org,1
28-06-2019,48,58,8.492,2637593,198,1693,51125,416,58,1219,5952,5953,351,8492,10,10486,5082,5383,5082,60,38.4,61.6,6.278,2.4,1.61,76.06,tvrain.ru,1
28-06-2019,57,81,3.762,1623448,100,975,13235,382,168,425,1667,2321,39,3762,41,4988,1566,1650,1609,139,45.93,54.07,270678,2.55,2,64.85,1funny.com,1
28-06-2019,63,83,1.847,1148690,103,393,7153,90,123,180,812,812,1,1847,17,2704,608,613,608,135,18.9,81.1,2.582,1.38,1.57,75.19,2carpros.com,1
28-06-2019,71,81,1.394,371409,37,478,7226,254,151,73,1000,1000,5,1394,1,1518,716,716,716,98,52.39,47.61,399271,0.53,1.22,86.83,1728.org,1
28-06-2019,53,46,4.049,14203303,172,568,22607,166,233,169,1686,1686,30,4049,31,4359,1286,2266,1286,101,33.36,66.64,457406,2.56,3.7,57.98,barrett-jackson.com,1
27-06-2019,65,68,3.06,2244467,106,438,14962,234,32,172,1683,1683,141,3060,41,4115,1456,1456,1456,112,34.96,65.04,751870,3,2.14,73.47,bassresource.com,1
20-07-2019,58,69,1.396,1549049,135,142,22697,38,34,70,1013,1013,38,1396,27,3901,649,656,649,99,43.56,56.44,443604,4.18,2.69,57.28,bendbulletin.com,1
