domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
e-verify.uscis.gov,2414055,5606332,301897,2.3223712798589924,127.69661586003633,2415173
defense.gov,2369330,3489701,616093,1.472864058615727,187.20760679179347,2362621
sam.gov,2357030,29778190,476326,12.63377640505212,383.37571562517235,2354794
mobile.weather.gov,2352557,4414400,404765,1.876426373516136,111.61741840899073,2386102
bls.gov,2332431,5779643,1431214,2.4779481150782168,135.34324273686983,2322368
holdmail.usps.com,2330195,4863890,2012644,2.087331746913885,149.5978735685211,2392810
faa.gov,2329077,6397972,1414442,2.74699891845568,163.63079494580901,2319013
ghr.nlm.nih.gov,2286587,3242593,2004817,1.4180929918695417,120.13938940438304,2245216
ebenefits.va.gov,2277642,4546340,1185224,1.9960731317740013,130.05696900566463,2518042
consumer.ftc.gov,2244098,3215758,2022707,1.4329846557503283,76.0533243200609,2267579
about.usps.com,2212791,4831464,1635833,2.183425366426382,118.09901432173214,2348085
fbo.gov,2126694,12435905,737970,5.8475290756451095,316.592545048794,2121103
hud.gov,2109922,4972349,1320518,2.3566506249994075,149.52252500329396,2108804
dol.gov,2090914,4622373,1630242,2.210694940107532,125.152390294388,2092032
usgs.gov,2074142,3978327,1591107,1.9180591299920642,121.5056428151978,1909776
apod.nasa.gov,2066315,3825142,594848,1.8511901621969544,108.64338496308646,2066315
postcalc.usps.com,1923193,11993123,1464758,6.236047552169751,186.12271103316203,2332431
archives.gov,1882940,4066659,1364126,2.159739025141534,122.82366618160961,1882940
ndbc.noaa.gov,1834861,7656993,668645,4.1730643356635735,364.3332655716155,1839333
gsa.gov,1813616,4568702,1201996,2.519112094291184,133.20900730915474,1787899
dhs.gov,1783426,3175505,1548618,1.7805644865556518,66.58057973809959,1773363
bop.gov,1774481,5206040,995141,2.933838119427596,139.6351868518175,1774481
eauth.va.gov,1712984,21502867,872146,12.552870896634177,318.3035007916011,1993636
apps.irs.gov,1705157,8956267,1308219,5.252458864491657,259.64457818253686,1595580
state.gov,1702921,3250420,1384252,1.9087321138208995,129.1523041879218,1579926
passportstatus.state.gov,1666022,6186645,802821,3.7134233521526125,114.4979982257137,1822561
oig.hhs.gov,1653723,2011526,1560917,1.216362111429786,36.86138549200803,1560917
energy.gov,1602288,2653336,1241131,1.6559669672368513,91.76624988766065,1595580
usda.gov,1569863,2538168,820712,1.616808600495712,159.6431115326624,1546382
pptform.state.gov,1555327,15771304,1059993,10.140185311513271,534.084022202405,1508365
benefits.va.gov,1546382,3465102,1150562,2.2407800918531127,147.75267818689042,1633596
treasury.gov,1543027,2790867,876618,1.8086961537290016,76.43841812230117,1563154
tricare.mil,1481530,3920184,1008558,2.6460375422704905,190.01808535770454,1475939
public.navy.mil,1435686,3506474,664173,2.442368317306152,229.0514367347735,1416678
airnow.gov,1412205,1942202,496452,1.3752974957601765,70.41965437029326,1411087
mars.nasa.gov,1408851,2477789,924698,1.7587303412497135,113.45713989627008,1413324
mymedicare.gov,1406615,2189310,798349,1.5564386843592597,127.35450283126512,1406615
fema.gov,1396551,3006667,971660,2.1529231657132466,199.79590433861708,1303746
accessdata.fda.gov,1377543,9504153,897863,6.899351236222753,292.39370386260174,1595580
faq.usps.com,1366362,2020471,1373071,1.478723061677652,51.320778095409565,1496066
consumerfinance.gov,1360771,2647745,1056638,1.9457682446201454,98.76664846620041,1365244
blast.ncbi.nlm.nih.gov,1330581,28891508,421537,21.71345299534564,680.8296496041954,1420032
nsopw.gov,1302628,8716986,705544,6.691846022041596,309.9725493387214,1300392
inciweb.nwcg.gov,1295919,2739432,572485,2.113891377470351,114.28043728041645,1295919
catalog.usmint.gov,1289210,5863504,708898,4.548137231327712,164.74767183003544,1313809
federalregister.gov,1289210,2457662,975014,1.9063317845812553,107.18130327875211,1288092
nimh.nih.gov,1267966,1697330,1043221,1.3386242217851267,72.1340311964201,1263493
my.uscis.gov,1264611,9705418,761450,7.674627217381471,321.950603782507,1247839
i94.cbp.dhs.gov,1206468,1436804,783813,1.1909176206911414,57.86934257684414,1209823
plancompare.medicare.gov,1205350,4488197,196792,3.7235632803749947,290.7486729995437,1188578
eric.ed.gov,1197523,2504624,780459,2.091503879257434,147.14569741040464,1189696
vsearch.nlm.nih.gov,1194169,2155766,839720,1.8052436464185555,71.35018159071288,1179633
womenshealth.gov,1193051,1505011,1043221,1.261480858739484,50.365501558608976,1193051
blogs.va.gov,1175161,1477057,893390,1.2568975655250643,67.95906348151445,1158389
dvlottery.state.gov,1158389,8072940,733497,6.969109685951783,339.93134085354745,1167334
marine.weather.gov,1156152,2364857,372339,2.0454550958697473,95.54934731765374,1219886
faq.ssa.gov,1149443,2115513,999613,1.8404679483889153,131.65180613566744,986196
wrh.noaa.gov,1139380,2365975,374575,2.0765460162544542,284.9706252523302,1136026
ftc.gov,1101364,2021589,871028,1.835532121986918,125.06087360763563,1074528
